"";"x"
"1";0,00326805668015406
"2";0,00181841000602723
"3";7,38148018577522e-05
"4";0,000692755185586091
"5";0,00507913231310614
"6";0,000192426067289586
"7";0,000355291581330186
"8";0,000115260762673264
"9";0,00397607896612773
"10";0,00395312686506655
"11";0,000112782394856015
"12";0,00620562429553062
"13";0,000842843659204007
"14";0,00487731491384896
"15";0,00364658373569915
"16";0,000205923546869102
"17";0,00379969091100801
"18";5,0002500250057e-05
"19";0,00251155876713233
"20";0,00193106525368447
"21";0,00560366771815624
"22";0,00555187924029649
"23";0,00105360710134461
"24";0,00411229750583991
"25";0,00124878131396938
"26";0,0133499278442543
"27";0,00276142317246514
"28";0,00124578973605949
"29";0,0159292313837197
"30";0,0141285791556942
"31";0,00196341419414886
"32";0,00102033591355244
"33";9,9999999999989e-05
"34";0,00512240142885284
"35";0,000405612273002176
"36";0,000496081750198718
"37";0,00193332531578022
"38";0,0020478078508363
"39";0,00224363348591916
"40";0,00410864410901479
"41";6,53498234153282e-05
"42";0,000304794233742189
"43";0,00462103083508558
"44";0,000788774062124964
"45";9,9999999999989e-05
"46";0,00209069457414113
"47";0,000735831404442333
"48";0,000220583822787113
"49";0,00351788650259099
"50";0,00444074907302561
"51";0,000832132920884854
"52";0,0100542353167422
"53";0,00381332253547129
"54";0,00429748765680293
"55";0,00735246678409118
"56";0,00471503815130847
"57";0,000300966427910165
"58";0,00123412564211645
"59";5,00025002500015e-05
"60";0,000584107229099295
"61";0,00187378443349479
"62";0,00307576827379996
"63";0,00246262520061552
"64";0,000871379758253188
"65";0,000584841830201466
"66";0,00064210375912821
"67";0,000280008342347315
"68";0,000629881785622621
"69";5,0002500250057e-05
"70";0,000795540371822556
"71";0,000301414281260792
"72";0,000258542129253581
"73";0,00147792354077703
"74";0,000238223299250107
"75";0,000379097838728415
"76";0,00129594515537285
"77";0,000772863908199417
"78";0,00245051944256991
"79";5,00025002500015e-05
"80";0,000253899309099748
"81";0,00023354818362159
"82";5,00025002500015e-05
"83";0,00232215057807111
"84";0,000645343802601395
"85";0,000514833660746283
"86";0,00122278948107574
"87";0,000191497315590927
"88";0,000157324765217293
"89";0,00196429250005509
"90";5,00025002500015e-05
"91";0,00113229463874887
"92";0,000516527593128369
"93";0,00130238721328202
"94";0,00167625766541241
"95";9,52423235817679e-05
"96";0,000661456069469879
"97";9,21893716948063e-05
"98";0,00148927730762111
"99";0,00199434234035767
"100";0,00020535459596932
"101";0,000292321165433096
"102";5,00025002500015e-05
"103";0,000239545209586522
"104";0,000328715071031049
"105";5,00025002500015e-05
"106";0,00328202319587212
"107";0,00141674195100538
"108";0,000469484066648318
"109";9,9999999999989e-05
"110";5,00025002500015e-05
"111";0,000656811953491321
"112";0,00310484500491698
"113";0,000966172468062743
"114";0,000146619119848146
"115";0,000520837069093449
"116";0,000867003590866666
"117";0,000433074639219044
"118";0,000404347143138917
"119";0,000320679388671974
"120";0,000467533868837688
"121";0,00157682505559958
"122";0,00133059432505939
"123";0,000132163306717392
"124";0,00103690470673651
"125";5,00025002500015e-05
"126";0,00163164101389179
"127";0,0034373323750862
"128";5,0002500250057e-05
"129";0,00172333106415679
"130";5,00025002500015e-05
"131";0,00174507293312015
"132";0,000637056693878812
"133";0,000317729509551834
"134";0,000288551689524352
"135";0,000448652809354522
"136";0,00348198314368797
"137";0,000313201298064614
"138";0,000289159109688353
"139";0,00945611798589036
"140";0,00062051546162567
"141";0,00298036966302889
"142";0,00053433505200623
"143";5,00025002500015e-05
"144";0,000363469218415569
"145";0,000369879195971978
"146";0,000241817962428004
"147";0,0034039991272537
"148";0,000690416923441961
"149";0,00324904032131956
"150";0,00121584547984965
"151";0,00119166530744014
"152";0,00145852472535929
"153";0,000831815254314971
"154";0,00254291668193851
"155";0,00156651057229729
"156";0,000124439003479748
"157";0,00223257555962614
"158";0,00013693498647166
"159";0,00216163409656556
"160";0,00326564411292396
"161";5,00025002500015e-05
"162";0,0068232833591822
"163";0,00469271107148767
"164";0,000466165471482982
"165";0,00130033853899675
"166";0,00133874924423005
"167";0,0033987225369071
"168";9,9999999999989e-05
"169";0,000780805277447338
"170";0,00183547919882288
"171";0,00112250195608704
"172";0,0040711767519947
"173";0,000157691616841538
"174";7,81374187103223e-05
"175";0,00518892612307581
"176";5,0002500250057e-05
"177";0,00987299237662476
"178";0,00781389970571106
"179";0,00321439025596287
"180";0,00160719217722693
"181";0,000137799514495274
"182";0,00116298673421716
"183";0,0011799121585972
"184";0,00307768453517138
"185";0,000580298394537049
"186";0,00326171010928827
"187";0,0033625417327558
"188";0,000665889892425608
"189";0,000588200110457793
"190";0,00542451423727375
"191";0,000275595118639449
"192";0,00144111230300703
"193";0,00349169165276453
"194";0,00317717833980369
"195";0,00286238688567375
"196";0,00300146383225686
"197";0,0030990819919261
"198";0,00392461495504304
"199";0,00577918889527412
"200";0,000972265519499693
"201";0,0032839114781692
"202";0,000763444321764895
"203";0,00449463380706605
"204";0,00192179726619268
"205";0,00180545625153605
"206";0,0034136658819649
"207";0,00015841687058743
"208";0,00938034229666757
"209";0,000217592840057235
"210";0,00870850883036223
"211";0,0131708638856364
"212";0,003606833268888
"213";0,00164138187490642
"214";0,00183563988282032
"215";0,00754251846350396
"216";0,000566925769261539
"217";0,00477340767809586
"218";0,000547485509816092
"219";0,00908540360669796
"220";0,000428881270899295
"221";0,000702435321288886
"222";0,00205826611828702
"223";9,9999999999989e-05
"224";0,00111540938565935
"225";0,00144045109992241
"226";0,000452137068580771
"227";0,00223926762520649
"228";0,000183852345258417
"229";0,000176085402860016
"230";0,00184549158467412
"231";0,00188354215247211
"232";0,00134776446174578
"233";0,00277577066047535
"234";0,000949817002455167
"235";5,0002500250057e-05
"236";0,00115083061208038
"237";0,00347009739214516
"238";0,00167986464608944
"239";0,000772243949240026
"240";0,00399646646046192
"241";0,00104053338120491
"242";0,00116484045552273
"243";0,000604423271717835
"244";0,00012326810820168
"245";5,0002500250057e-05
"246";0,0021284452361674
"247";0,000269698396816898
"248";0,000100000000000044
"249";0,00550358494718201
"250";8,96508842865296e-05
"251";0,00113629752783612
"252";0,0015915613969314
"253";0,00179711833549345
"254";0,00366878699607093
"255";0,00128058526146091
"256";0,00110135075275652
"257";9,9999999999989e-05
"258";0,000297131620697999
"259";0,00653213939028024
"260";0,00335744378059272
"261";0,000184371341178768
"262";9,9999999999989e-05
"263";0,000638378151880059
"264";0,00271895971547176
"265";0,000245435322282495
"266";0,00147514280980149
"267";0,00140900591274301
"268";5,00025002500015e-05
"269";0,00215041371209268
"270";0,00014099692422137
"271";0,0046183607508411
"272";0,000990038056622344
"273";0,000413086703881183
"274";0,000903244123561187
"275";5,0002500250057e-05
"276";0,000237199372819241
"277";0,000481738314180358
"278";5,0002500250057e-05
"279";0,00254041244494824
