"";"x"
"280";0,00107773594885685
"281";0,000656110153578027
"282";0,000391468292768982
"283";0,000319527910854989
"284";0,0017129528414514
"285";0,00269872287936546
"286";0,000228250249148576
"287";0,00200658423012484
"288";0,00104867343286924
"289";0,00175706086997629
"290";0,00571563923130913
"291";5,0002500250057e-05
"292";0,00383955363014593
"293";0,00120171968381166
"294";0,00392665657672675
"295";0,000208132297228047
"296";0,00655767295077075
"297";0,000466494385638228
"298";0,00136824411893849
"299";0,00173263068356871
"300";0,00169019191533443
"301";0,00118517607385049
"302";0,00112198373173511
"303";5,00025002500015e-05
"304";0,000409174483985031
"305";0,000370995800917762
"306";8,68413516180166e-05
"307";0,00117537483587599
"308";0,0012612272121732
"309";0,0010773024202414
"310";0,000100250192670792
"311";0,000599921561304062
"312";0,00219072991989461
"313";0,00216689667903985
"314";0,000246502676777061
"315";0,00272861712769618
"316";6,26091797397699e-05
"317";0,000402961411909264
"318";0,00375278649045319
"319";5,00025002500015e-05
"320";0,00675188583398628
"321";0,000169981617137716
"322";0,00169195210392176
"323";0,00649494909543358
"324";5,0002500250057e-05
"325";0,000137030534207438
"326";0,000385775949012568
"327";0,00225523873145422
"328";0,000827676376564557
"329";0,000807931603063305
"330";0,000638407966008114
"331";0,000135407909185092
"332";0,000287393361723176
"333";9,9999999999989e-05
"334";5,0002500250057e-05
"335";0,00194747615353824
"336";0,0106481995917225
"337";0,00196872047295898
"338";0,00295636605281885
"339";0,00176266045044188
"340";0,00105707417636858
"341";0,000214450112282438
"342";0,000846765508021485
"343";0,00315079160176263
"344";0,000497828912651266
"345";0,00304562941224906
"346";0,00389743567428719
"347";0,00201582586756632
"348";0,00125504904884355
"349";5,00025002500015e-05
"350";0,00049179964922591
"351";0,00590272853372442
"352";0,00185652053984431
"353";0,00206380610399504
"354";0,000385456345735447
"355";0,00095750079319129
"356";0,00157310927151055
"357";0,00260322398391194
"358";0,00130111945980688
"359";0,000553688226669791
"360";0,00588877038554569
"361";0,00233543534275132
"362";0,000878189708245269
"363";0,000212131745205346
"364";0,00140868509287823
"365";0,00110654571241314
"366";0,000306394953678679
"367";0,00217896953316676
"368";0,00306521044218572
"369";0,000915110243487172
"370";0,00039555145859782
"371";0,00294471005764091
"372";0,00458674198943454
"373";0,00366668037300466
"374";0,000777179838435726
"375";0,00826064805596721
"376";0,000564179008299137
"377";5,00025002500015e-05
"378";0,00175190672380743
"379";0,000494092876846208
"380";0,000287148119754443
"381";0,00311505230118969
"382";0,000264142429152237
"383";0,00223086263393119
"384";0,000657508783867833
"385";0,00315384853223305
"386";0,00301020337716168
"387";0,00233593233713753
"388";0,00421953840000566
"389";0,00019369907558392
"390";0,000138386294440462
"391";0,00471069712585848
"392";0,000662527610222952
"393";6,92800744673816e-05
"394";0,00108656976485977
"395";0,000146097111105581
"396";0,00559687921487667
"397";0,00189489036999763
"398";5,00025002500015e-05
"399";0,000100000000000044
"400";0,00306288738190946
"401";0,00329218424308775
"402";0,00442160766789657
"403";0,000578804764787333
"404";0,00125824848985445
"405";8,10599664843314e-05
"406";0,0030703010954532
"407";0,00345080323025226
"408";0,000421971531353038
"409";0,00203256239137006
"410";0,000262421892339548
"411";0,00531557877133554
"412";0,00901377266781683
"413";0,00360522283152881
"414";0,00326437617390229
"415";5,00025002501125e-05
"416";0,00208332472032191
"417";0,00358086740996105
"418";0,000312868295569702
"419";0,00103008371165164
"420";0,000182235254290009
"421";0,00288877743356308
"422";0,00138633397297655
"423";7,26352988825174e-05
"424";0,000701102378584062
"425";0,00711272466028023
"426";0,0030808142897864
"427";0,00260732663480917
"428";0,000805340212902239
"429";0,0033352751288373
"430";0,000100000000000044
"431";0,0133965985056013
"432";0,0042168540171052
"433";5,00025002500015e-05
"434";0,00100786528446373
"435";0,00109289921134714
"436";0,00126491495784725
"437";0,0021708976365295
"438";0,000982044054436526
"439";0,00161893276051739
"440";0,00215738199907112
"441";0,000219624405352503
"442";0,000100000000000044
"443";0,00265843565868756
"444";0,000295755285460331
"445";0,000181539150697185
"446";0,00121466949435795
"447";0,00208354485742068
"448";0,00249145020797448
"449";0,000300003038619934
"450";0,00278966826402388
"451";0,0032185903594914
"452";0,000100000000000044
"453";0,00329338173698968
"454";0,00226110383057049
"455";0,00262032364093095
"456";5,00025002501125e-05
"457";0,00486415302071308
"458";0,00327033150817013
"459";0,00028893526864443
"460";0,00146741856226856
"461";5,00025002501125e-05
"462";0,000208824151884279
"463";0,00275330476967534
"464";0,00243848646650041
"465";0,000581726654049375
"466";0,000497691832797797
"467";0,00459187821886636
"468";0,00224933924170462
"469";5,00025002501125e-05
"470";9,9999999999878e-05
"471";0,000222665417617007
"472";0,000367224972629754
"473";0,00433534741604458
"474";0,000135748806772029
"475";0,000135759893813148
"476";9,9999999999878e-05
"477";0,00200597260708235
"478";0,00026125774505692
"479";0,000739802058149719
"480";0,000153869741582491
"481";0,0024685065407406
"482";0,000612870331624382
"483";0,0020881367462649
"484";8,7237401446727e-05
"485";0,00228771778964054
"486";0,00277599852215832
"487";5,00025002500015e-05
"488";0,000100000000000044
"489";0,001989501713827
"490";0,000707300284936374
"491";0,00238051751292073
"492";0,00218276733782025
"493";0,000100000000000044
"494";5,00025002500015e-05
"495";0,000419237229396574
"496";0,00394429223051479
"497";0,000161956376851902
"498";0,00446090237718944
"499";0,00446090237718944
